alt,XM,ZXN_HPC,FN,FG,SFC,FNqW2,WF,WF_total,St2_W,St2_T,St2_Ts,St2_P,St3_W,St3_T,St3_Ts,St3_P,St5_W,St5_T,St5_Ts,St5_P
3281.3,0.53594,0.68125,0.2016,0.81452,105.42,57.732,0.021253,0.021253,3.492,282.18,278.39,82.245,3.492,402.71,397.12,222.24,3.5133,504.55,497.26,81.828
4781.3,0.010937,0.98125,2.7417,2.7607,22.31,507.37,0.061167,0.061167,5.4038,257.08,230.69,55.622,5.4038,503.86,498.11,417.59,5.4649,707.5,687.71,110.31
1781.3,0.36094,0.78125,0.94509,1.5582,39.536,185.52,0.037365,0.037365,5.0944,283.79,276.44,89.374,5.0944,448.42,442.46,347.93,5.1318,572.79,561.3,109.33
2531.3,0.098437,0.63125,0.46332,0.55107,55.087,171.76,0.025523,0.025523,2.6974,272.22,269.74,74.896,2.6974,382.48,378.28,187.12,2.7229,603.11,597.44,83.89
5531.3,0.44844,0.83125,1.0107,1.6217,32.488,236.21,0.032835,0.032835,4.2787,262.36,250.66,57.74,4.2787,449.97,444.08,294.75,4.3116,561.95,546.93,80.222
4031.3,0.27344,0.73125,0.64574,0.9534,41.753,186.23,0.026962,0.026962,3.4674,265.87,260.3,64.664,3.4674,412.52,407.26,231.77,3.4944,555.05,545.41,78.144
1031.3,0.62344,0.93125,2.3094,4.1321,32.788,265.67,0.07572,0.07572,8.6929,303.34,286.53,116.36,8.6929,530.22,523.37,649.04,8.7686,655.3,636.7,170.13
1406.3,0.054688,0.70625,0.87622,0.9466,37.575,228,0.032924,0.032924,3.8431,279.18,275.01,85.713,3.8431,415.68,410.7,265.23,3.8761,604.23,596.26,101.99
4406.3,0.40469,0.90625,1.7173,2.4336,28.361,313.41,0.048706,0.048706,5.4795,268.02,250.69,65.428,5.4795,484.41,478.29,398.51,5.5282,622.97,605.45,104.98
5906.3,0.22969,0.60625,0.23179,0.36654,84.879,125.19,0.019674,0.019674,1.8514,252.4,250.11,49.58,1.8514,354.21,350.26,122.77,1.8711,546.84,541.49,54.115
2906.3,0.57969,0.80625,0.79599,1.8272,43.428,147.21,0.034568,0.034568,5.407,287.39,278.64,89.092,5.407,459.97,453.5,364.3,5.4416,541.09,528.06,103.97
2156.3,0.31719,0.95625,2.6794,3.4397,26.898,371.05,0.072071,0.072071,7.2211,279.66,258.27,83.597,7.2211,515.99,509.75,548.31,7.2932,680.59,661.41,144.54
5156.3,0.66719,0.75625,0.36001,1.209,60.793,90.515,0.021886,0.021886,3.9773,277.35,270.69,71.31,3.9773,427.93,421.67,253.9,3.9992,486.36,475.18,74.563
3656.3,0.14219,0.85625,1.6871,1.9204,25.683,335.06,0.043328,0.043328,5.0351,265.46,252.14,65.369,5.0351,464.45,458.58,358.42,5.0784,606.37,590.87,99.621
656.25,0.49219,0.65625,0.17745,0.84339,143.31,44.301,0.025431,0.025431,4.0056,297.66,294.64,110.56,4.0056,408.44,403.05,262.05,4.0311,537.02,530.96,108.28
468.75,0.16406,0.91875,2.8097,3.2362,25.638,365.78,0.072035,0.072035,7.6812,286.64,269.64,97.637,7.6812,509.94,503.63,573.92,7.7533,664.28,646.7,155.95
